;Gene Symbol;Entrez;logFC;AveExpr;t;P.Value;adj.P.Val;B
16799793;NUSAP1;51203;-0.4182073763;5.7307815731;-0.5909255871;0.5612076981;0.8802453276;-5.61575973
17105747;TCEAL3;85012;0.3106226238;1.2452965049;0.5908768378;0.5612397264;0.8802453276;-5.6157866382
16856567;DAZAP1;26528;0.227328808;3.6323524191;0.5908146703;0.5612805719;0.8802453276;-5.6158209499
16821398;HSBP1;3281;0.3352530642;6.7120836574;0.5907982547;0.5612913576;0.8802453276;-5.6158300094
17028529;TRIM27;5987;-0.242386856;2.7450448359;-0.5906660913;0.5613781981;0.8802453276;-5.6159029398
17057035;PSMA2//RP11-111K18.1;5683;-0.2853445926;5.5944135184;-0.5904517517;0.5615190488;0.8802453276;-5.6160211832
16852331;ME2;4200;-0.2278586852;4.6052662198;-0.5902882615;0.5616264969;0.8802453276;-5.6161113472
17009482;CENPQ;55166;-0.2719299549;1.7451065186;-0.5901255321;0.5617334556;0.8802453276;-5.6162010676
17090748;SURF2;6835;0.3054374476;3.9981964929;0.5900619279;0.5617752642;0.8802453276;-5.6162361292
16781908;TRAV18//TRAV20;---;-0.2468842378;1.1514276296;-0.5900336529;0.5617938506;0.8802453276;-5.6162517145
17118050;RP11-432M8.3//RP11-432M8.4//RP11-432M8.5//RP11-432M8.2//RP11-321E2.2//RP11-321E2.7//RP11-321E2.9//RP11-321E2.8;---;-0.2411107041;1.7992862242;-0.590007855;0.561810809;0.8802453276;-5.6162659338
16762679;RNU4-54P;---;-0.2642463693;1.160927596;-0.5897196438;0.5620002839;0.8802453276;-5.6164247495
16811061;CALML4//RP11-315D16.2;91860;-0.2439247372;1.8251487361;-0.5895917399;0.5620843807;0.8802453276;-5.6164952056
16877679;RNU6-370P;---;-0.5516363916;1.5385549543;-0.5895750005;0.5620953873;0.8802453276;-5.6165044254
17095551;SPATA31C2;645961;0.2351530626;1.8806785882;0.5895356117;0.562121287;0.8802453276;-5.6165261193
16831667;GID4;79018;0.2678421281;1.8290410758;0.58937609;0.5622261853;0.8802527951;-5.6166139634
16806968;GOLGA8A//GOLGA8B//LOC101930583;23015;-0.3101992988;7.5442603409;-0.5891296315;0.5623882715;0.8802527951;-5.6167496363
16783265;NPAS3;64067;0.2271780108;1.27060942;0.5890729003;0.5624255849;0.8802527951;-5.6167808586
16670492;MRPS21;54460;-0.2237759064;6.9288679901;-0.5890140912;0.5624642663;0.8802527951;-5.6168132213
16799852;TYRO3;7301;-0.2632487807;1.7575273558;-0.5888324811;0.5625837281;0.8802527951;-5.616913142
16792101;MBIP;51562;-0.2327879172;3.4316215261;-0.588772784;0.5626229993;0.8802527951;-5.6169459805
16678143;RP11-275I14.4;---;0.2746732131;1.7550993228;0.5886414707;0.5627093877;0.8802583709;-5.6170182027
16774230;RNY3P9;---;0.2432780908;3.5446010375;0.5879230275;0.5631821587;0.8807067383;-5.6174130712
16897159;SIX2;10736;0.2224120539;1.9324697713;0.5878352428;0.5632399395;0.8807067383;-5.6174612874
16833545;TADA2A;6871;-0.2437065356;2.1663569828;-0.5878281493;0.5632446086;0.8807067383;-5.6174651832
17058697;WBSCR16;81554;0.2546702019;2.2434937365;0.5876218682;0.5633803976;0.8807894772;-5.6175784554
16819478;CCL22;6367;-0.7214615307;2.7059283911;-0.587189176;0.563665282;0.8809222458;-5.6178159292
16916092;LIME1//RP4-583P15.15;54923;0.221759959;2.5776515229;0.5871009366;0.5637233879;0.8809222458;-5.6178643368
17002172;CTC-248O19.1;---;0.3235052966;1.3136958827;0.5870391561;0.5637640725;0.8809222458;-5.6178982251
16831464;SNORD49A//LRRC75A-AS1//SNORD49B//SNORD65//C17orf76-AS1;26800;0.2127546686;2.9954310387;0.5869893564;0.5637968683;0.8809222458;-5.617925539
16762399;KRAS;3845;0.2555392252;4.496669812;0.5868418988;0.5638939832;0.8809444735;-5.6180064029
16757110;LOC102723619//RP11-686G8.2;102723619;0.2713378192;1.5307094066;0.586273177;0.5642686217;0.8811615036;-5.6183180998
17060478;RP11-506M12.1;---;-0.2407249763;1.2616652785;-0.5862407033;0.5642900173;0.8811615036;-5.6183358887
